Date,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2023-04-02,Peter Pan Goes Wrong,449082.5,-25180.00,70.96,6329.0,1051.0,0.0,75.27,-0.79
2023-04-02,The Phantom of the Opera,3247106.03,189173.19,248.57,13063.0,1605.0,8.0,101.74,0.08
2023-04-02,Pictures From Home,324584.0,15798.50,77.73,4176.0,807.0,7.0,73.92,-10.82
2023-04-02,Shucked,482195.7,-35100.70,52.64,9160.0,1171.0,0.0,97.78,0.25
2023-04-02,SIX: The Musical,1173930.0,37263.50,126.01,9316.0,1031.0,9.0,100.4,0.21
2023-04-02,Some Like It Hot,827142.2,-98708.75,96.12,8605.0,1448.0,8.0,74.28,-5.97
2023-04-02,Sweeney Todd,1734930.0,340528.00,164.29,10560.0,1498.0,7.0,100.71,0.71
2023-04-02,The Thanksgiving Play,190755.85,103354.85,51.42,3710.0,581.0,0.0,79.82,-10.08
2023-04-02,Wicked,2001359.0,122439.00,130.42,15346.0,1926.0,8.0,99.6,0.13
2023-04-09,& Juliet,1302343.6,123375.80,158.30,8227.0,1026.0,8.0,100.23,4.49
2023-04-09,Aladdin,2178396.0,686503.00,140.75,15477.0,1727.0,9.0,99.58,0.41
2023-04-09,Bad Cinderella,639390.65,7500.77,67.60,9459.0,1398.0,8.0,84.58,4.3
2023-04-09,A Beautiful Noise The Neil Diamond Musical,781921.4,-102576.40,126.34,6189.0,1152.0,8.0,67.15,-4.2
2023-04-09,The Book of Mormon,1110926.9,52335.96,129.42,8584.0,1066.0,8.0,100.66,1.69
2023-04-09,Camelot,931246.0,40536.00,118.51,7858.0,1047.0,0.0,93.82,-1.86
2023-04-09,Chicago,863677.15,81712.71,102.86,8397.0,1080.0,8.0,97.19,3.13
2023-04-09,Dancin',610557.7,29145.40,99.21,6154.0,989.0,8.0,77.78,3.37
2023-04-09,A Doll's House,841441.0,-25657.00,116.38,7230.0,946.0,8.0,95.53,-1.07
2023-04-09,Fat Ham,289881.0,-78365.00,63.33,4577.0,704.0,0.0,92.88,-3.39
