,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
89,David Byrne's American Utopia,"$1,431,543.00","$15,199.50",$212.81,"6,727",7,100.00%,0.00%,2020-02-16,Hudson Theatre,"$922,575.50",$649.00,961,0
90,Dear Evan Hansen,"$1,065,181.46","$98,700.76",$135.88,"7,839",8,99.58%,0.08%,2020-02-16,Music Box Theatre,"$1,248,104.00",$297.00,984,0
91,Frozen,"$1,074,666.00","$79,803.60",$88.80,"12,102",8,89.83%,-3.51%,2020-02-16,St. James Theatre,"$1,183,520.00",$227.50,"1,684",0
92,Girl From the North Country,"$619,273.60","$303,058.20",$92.72,"6,679",0,83.65%,-12.11%,2020-02-16,Belasco Theatre,"$988,888.00",$247.00,998,8
93,Grand Horizons,"$270,421.69","$38,639.06",$66.07,"4,093",8,87.46%,7.63%,2020-02-16,Helen Hayes Theater,"$571,240.00",$199.00,585,0
94,Hadestown,"$1,289,258.00","$197,227.00",$173.50,"7,431",8,101.18%,0.29%,2020-02-16,Walter Kerr Theatre,"$1,094,012.00",$449.00,918,0
95,Hamilton,"$2,553,721.00","-$138,636.00",$237.78,"10,740",8,101.40%,-0.14%,2020-02-16,Richard Rodgers Theatre,"$2,374,634.00",$847.00,"1,324",0
96,Harry Potter and the Cursed Child,"$1,155,902.00","$143,695.00",$89.08,"12,976",8,100.00%,0.00%,2020-02-16,Lyric Theatre,"$1,098,770.50",$296.50,"1,622",0
97,The Inheritance,"$345,984.00","$37,268.98",$79.14,"4,372",8,52.15%,2.48%,2020-02-16,Ethel Barrymore Theatre,"$1,137,638.00",$347.00,"1,048",0
98,Jagged Little Pill,"$1,042,412.70","$130,011.54",$115.68,"9,011",8,100.12%,2.73%,2020-02-16,Broadhurst Theatre,"$1,257,760.00",$247.00,"1,125",0
99,The Lion King,"$1,673,492.00","$254,286.00",$130.91,"12,784",8,94.22%,0.11%,2020-02-16,Minskoff Theatre,"$2,154,298.00",$225.00,"1,696",0
100,Mean Girls,"$1,007,297.10","$173,593.30",$107.48,"9,372",8,95.63%,0.76%,2020-02-16,August Wilson Theatre,"$1,176,000.00",$249.50,"1,225",0
101,Moulin Rouge! The Musical,"$1,911,377.50","$281,093.50",$182.57,"10,469",8,100.51%,0.51%,2020-02-16,Al Hirschfeld Theatre,"$1,754,340.00",$449.00,"1,302",0
102,My Name is Lucy Barton,"$578,870.00","$34,395.30",$129.82,"4,459",7,98.61%,0.00%,2020-02-16,Samuel J. Friedman Theatre,"$754,974.00",$299.00,646,0
103,The Phantom of the Opera,"$971,935.80","$237,796.66",$91.99,"10,566",8,82.29%,4.14%,2020-02-16,Majestic Theatre,"$1,373,056.00",$247.00,"1,605",0
104,SIX: The Musical,"$666,019.00",$0.00,$128.20,"5,195",0,101.17%,0.00%,2020-02-16,Lena Horne Theatre,"$664,085.00",$299.00,"1,027",5
105,A Soldier's Play,"$447,424.20","$38,087.10",$84.05,"5,323",8,92.29%,0.42%,2020-02-16,American Airlines Theatre,"$655,256.00",$297.00,721,0
106,Tina: The Tina Turner Musical,"$1,605,793.00","$176,328.00",$144.24,"11,133",8,94.16%,4.88%,2020-02-16,Lunt-Fontanne Theatre,"$1,566,688.00",$297.00,"1,478",0
107,To Kill A Mockingbird,"$1,560,764.50","$203,910.50",$137.48,"11,353",8,98.89%,1.22%,2020-02-16,Sam S. Shubert Theatre,"$1,751,250.00",$423.00,"1,435",0
108,West Side Story,"$1,524,204.00","$2,773.00",$109.50,"13,920",0,100.00%,0.00%,2020-02-16,Broadway Theatre,"$1,722,464.00",$373.00,"1,740",8
